"BasinName","Mosaic","MosaicDateStart","MosaicDateEnd","ObservedArea","ObservedAreaWater","PercentObserved","PercentWater","EstimatedAreaWater","Threshold"
"Yolo","L8_valley_20130612to20130620_water.tif","2013-06-12","2013-06-20",2055196800,75686400,99.9665324666078,3.68268381889267,75711738.8514819,0.07897201
"American","L8_valley_20130619to20130628_water.tif","2013-06-19","2013-06-28",2101717800,113832900,99.9997121106087,5.41618384732717,113833227.713786,0.07897201
"Butte","L8_valley_20130619to20130628_water.tif","2013-06-19","2013-06-28",1889334900,144506700,76.8222741439807,7.64854870356759,188105209.862916,0.07897201
"Colusa","L8_valley_20130619to20130628_water.tif","2013-06-19","2013-06-28",3607008300,138024900,77.6078458398333,3.82657561392359,177849157.525716,0.07897201
"Delta","L8_valley_20130619to20130628_water.tif","2013-06-19","2013-06-28",6616120500,268802400,96.9484322593073,4.06284014929897,277263276.708834,0.07897201
"San Joaquin","L8_valley_20130619to20130628_water.tif","2013-06-19","2013-06-28",11516514300,194489100,99.9994527688372,1.68878442672537,194490164.310788,0.07897201
"Suisun","L8_valley_20130619to20130628_water.tif","2013-06-19","2013-06-28",613871100,126765000,99.7064637530255,20.6501006481654,127138196.691038,0.07897201
"Sutter","L8_valley_20130619to20130628_water.tif","2013-06-19","2013-06-28",960425100,86177700,99.9992027333572,8.9728704508035,86178387.0715335,0.07897201
"Tulare","L8_valley_20130619to20130628_water.tif","2013-06-19","2013-06-28",22292564400,221544000,82.6484512805638,0.993802220439027,268055839.60422,0.07897201
"Yolo","L8_valley_20130619to20130628_water.tif","2013-06-19","2013-06-28",2055196800,75686400,99.9665324666078,3.68268381889267,75711738.8514819,0.07897201
"American","L8_valley_20130628to20130706_water.tif","2013-06-28","2013-07-06",2101717800,47583000,99.9997121106087,2.26400518661449,47583136.9868034,0.07897201
"Butte","L8_valley_20130628to20130706_water.tif","2013-06-28","2013-07-06",1930856400,48511800,78.5105804658876,2.51244991600618,61790143.0764202,0.07897201
"Colusa","L8_valley_20130628to20130706_water.tif","2013-06-28","2013-07-06",3607009200,48323700,77.6078652040974,1.33971657183464,62266498.2124115,0.07897201
"Delta","L8_valley_20130628to20130706_water.tif","2013-06-28","2013-07-06",6666111900,268959150,97.6809745182411,4.0347229994744,275344458.147041,0.07897201
"San Joaquin","L8_valley_20130628to20130706_water.tif","2013-06-28","2013-07-06",11516514300,195993900,99.9994527688372,1.70185088034841,195994972.545567,0.07897201
"Suisun","L8_valley_20130628to20130706_water.tif","2013-06-28","2013-07-06",615497400,121028400,99.9706114250718,19.6635111699903,121063978.978173,0.07897201
"Sutter","L8_valley_20130628to20130706_water.tif","2013-06-28","2013-07-06",960384600,24715800,99.9949858842653,2.57353147895124,24717039.3409587,0.07897201
"Tulare","L8_valley_20130628to20130706_water.tif","2013-06-28","2013-07-06",22873944600,147612600,84.8038862620675,0.64533075768663,174063485.184908,0.07897201
"Yolo","L8_valley_20130628to20130706_water.tif","2013-06-28","2013-07-06",2055855600,40133700,99.9985770628183,1.95216531744739,40134271.0854659,0.07897201
"American","L8_valley_20130705to20130714_water.tif","2013-07-05","2013-07-14",2101717800,47583000,99.9997121106087,2.26400518661449,47583136.9868034,0.07897201
"Butte","L8_valley_20130705to20130714_water.tif","2013-07-05","2013-07-14",1930856400,48511800,78.5105804658876,2.51244991600618,61790143.0764202,0.07897201
"Colusa","L8_valley_20130705to20130714_water.tif","2013-07-05","2013-07-14",3607009200,48323700,77.6078652040974,1.33971657183464,62266498.2124115,0.07897201
"Delta","L8_valley_20130705to20130714_water.tif","2013-07-05","2013-07-14",6668110800,280078950,97.7102651306541,4.20027438656238,286642298.662776,0.07897201
"San Joaquin","L8_valley_20130705to20130714_water.tif","2013-07-05","2013-07-14",11516514300,151766550,99.9994527688372,1.31781671125959,151767380.518401,0.07897201
"Suisun","L8_valley_20130705to20130714_water.tif","2013-07-05","2013-07-14",615497400,121028400,99.9706114250718,19.6635111699903,121063978.978173,0.07897201
"Sutter","L8_valley_20130705to20130714_water.tif","2013-07-05","2013-07-14",960384600,24715800,99.9949858842653,2.57353147895124,24717039.3409587,0.07897201
"Tulare","L8_valley_20130705to20130714_water.tif","2013-07-05","2013-07-14",22874156100,126825750,84.8046703866362,0.554449962855679,149550430.915873,0.07897201
"Yolo","L8_valley_20130705to20130714_water.tif","2013-07-05","2013-07-14",2055855600,40133700,99.9985770628183,1.95216531744739,40134271.0854659,0.07897201
"American","L8_valley_20130714to20130722_water.tif","2013-07-14","2013-07-22",2101717800,40909500,99.9997121106087,1.94647920857881,40909617.7744496,0.07897201
"Butte","L8_valley_20130714to20130722_water.tif","2013-07-14","2013-07-22",1930856400,45404100,78.5105804658876,2.35150060874542,57831823.0874981,0.07897201
"Colusa","L8_valley_20130714to20130722_water.tif","2013-07-14","2013-07-22",3607009200,38380500,77.6078652040974,1.06405328824778,49454394.7305662,0.07897201
"Delta","L8_valley_20130714to20130722_water.tif","2013-07-14","2013-07-22",6615053100,293065050,96.9327912569112,4.43027509484391,302338399.833405,0.07897201
"San Joaquin","L8_valley_20130714to20130722_water.tif","2013-07-14","2013-07-22",11516514300,151498350,99.9994527688372,1.31548788160668,151499179.050719,0.07897201
"Suisun","L8_valley_20130714to20130722_water.tif","2013-07-14","2013-07-22",615664800,120564000,99.997800947485,19.5827339812184,120566651.323978,0.07897201
"Sutter","L8_valley_20130714to20130722_water.tif","2013-07-14","2013-07-22",960425100,22565700,99.9992027333572,2.34955333841233,22565879.9102332,0.07897201
"Tulare","L8_valley_20130714to20130722_water.tif","2013-07-14","2013-07-22",8303561100,129208500,30.7849941673168,1.55606129037817,419712601.853196,0.07897201
"Yolo","L8_valley_20130714to20130722_water.tif","2013-07-14","2013-07-22",2055855600,45174600,99.9985770628183,2.19736249958411,45175242.8153269,0.07897201
"American","L8_valley_20130721to20130730_water.tif","2013-07-21","2013-07-30",2101717800,40909500,99.9997121106087,1.94647920857881,40909617.7744496,0.07897201
"Butte","L8_valley_20130721to20130730_water.tif","2013-07-21","2013-07-30",1930856400,45404100,78.5105804658876,2.35150060874542,57831823.0874981,0.07897201
"Colusa","L8_valley_20130721to20130730_water.tif","2013-07-21","2013-07-30",3607009200,38380500,77.6078652040974,1.06405328824778,49454394.7305662,0.07897201
"Delta","L8_valley_20130721to20130730_water.tif","2013-07-21","2013-07-30",6619498200,277182600,96.9979269321511,4.18736574322205,285761364.97627,0.07897201
"San Joaquin","L8_valley_20130721to20130730_water.tif","2013-07-21","2013-07-30",11516514300,183404700,99.9994527688372,1.59253655422457,183405703.653165,0.07897201
"Suisun","L8_valley_20130721to20130730_water.tif","2013-07-21","2013-07-30",615664800,120564000,99.997800947485,19.5827339812184,120566651.323978,0.07897201
"Sutter","L8_valley_20130721to20130730_water.tif","2013-07-21","2013-07-30",960425100,22565700,99.9992027333572,2.34955333841233,22565879.9102332,0.07897201
"Tulare","L8_valley_20130721to20130730_water.tif","2013-07-21","2013-07-30",8297805600,135544050,30.7636559689467,1.63349271523064,440597990.488582,0.07897201
"Yolo","L8_valley_20130721to20130730_water.tif","2013-07-21","2013-07-30",2055855600,45174600,99.9985770628183,2.19736249958411,45175242.8153269,0.07897201
"American","L8_valley_20130730to20130807_water.tif","2013-07-30","2013-08-07",2101717800,33419700,99.9997121106087,1.59011357281173,33419796.2120479,0.07897201
"Butte","L8_valley_20130730to20130807_water.tif","2013-07-30","2013-08-07",1930856400,43438500,78.5105804658876,2.24970122066043,55328211.4872068,0.07897201
"Colusa","L8_valley_20130730to20130807_water.tif","2013-07-30","2013-08-07",2145520800,30895200,46.16270150877,1.43998603975315,66926759.0288895,0.07897201
"Delta","L8_valley_20130730to20130807_water.tif","2013-07-30","2013-08-07",6731575200,262070550,98.6402321837447,3.89315341823709,265683224.986556,0.07897201
"San Joaquin","L8_valley_20130730to20130807_water.tif","2013-07-30","2013-08-07",11516514300,184141800,99.9994527688372,1.59893692833777,184142807.686828,0.07897201
"Suisun","L8_valley_20130730to20130807_water.tif","2013-07-30","2013-08-07",615651300,115981200,99.9956082440646,18.8387809787781,115986293.834944,0.07897201
"Sutter","L8_valley_20130730to20130807_water.tif","2013-07-30","2013-08-07",960425100,21363300,99.9992027333572,2.22435877612945,21363470.3238226,0.07897201
"Tulare","L8_valley_20130730to20130807_water.tif","2013-07-30","2013-08-07",9904347000,102994650,36.7198194791488,1.03989339226503,280487898.527075,0.07897201
"Yolo","L8_valley_20130730to20130807_water.tif","2013-07-30","2013-08-07",1091156400,42181200,53.074781785738,3.86573363818422,79475032.3614798,0.07897201
"American","L8_valley_20130806to20130815_water.tif","2013-08-06","2013-08-15",2101717800,33419700,99.9997121106087,1.59011357281173,33419796.2120479,0.07897201
"Butte","L8_valley_20130806to20130815_water.tif","2013-08-06","2013-08-15",1930856400,43438500,78.5105804658876,2.24970122066043,55328211.4872068,0.07897201
"Colusa","L8_valley_20130806to20130815_water.tif","2013-08-06","2013-08-15",2145520800,30895200,46.16270150877,1.43998603975315,66926759.0288895,0.07897201
"Delta","L8_valley_20130806to20130815_water.tif","2013-08-06","2013-08-15",6731851500,271392150,98.6442809086483,4.03146370653007,275122031.911134,0.07897201
"San Joaquin","L8_valley_20130806to20130815_water.tif","2013-08-06","2013-08-15",11516514300,152497350,99.9994527688372,1.32416238132054,152498184.517588,0.07897201
"Suisun","L8_valley_20130806to20130815_water.tif","2013-08-06","2013-08-15",615651300,115981200,99.9956082440646,18.8387809787781,115986293.834944,0.07897201
"Sutter","L8_valley_20130806to20130815_water.tif","2013-08-06","2013-08-15",960425100,21363300,99.9992027333572,2.22435877612945,21363470.3238226,0.07897201
"Tulare","L8_valley_20130806to20130815_water.tif","2013-08-06","2013-08-15",9899837100,101638350,36.7030992739834,1.02666689333706,276920347.356184,0.07897201
"Yolo","L8_valley_20130806to20130815_water.tif","2013-08-06","2013-08-15",1091156400,42181200,53.074781785738,3.86573363818422,79475032.3614798,0.07897201
"American","L8_valley_20130815to20130823_water.tif","2013-08-15","2013-08-23",1789109100,50895000,85.1257932603846,2.84471192952962,59787989.1049253,0.07897201
"Butte","L8_valley_20130815to20130823_water.tif","2013-08-15","2013-08-23",861426900,20664900,35.0264918447224,2.39891510237259,58997915.3253786,0.07897201
"Colusa","L8_valley_20130815to20130823_water.tif","2013-08-15","2013-08-23",3368875500,44039700,72.4842164786788,1.30725222704134,60757640.9589173,0.07897201
"Delta","L8_valley_20130815to20130823_water.tif","2013-08-15","2013-08-23",6728509800,278152350,98.5953137569646,4.13393690828837,282115183.167468,0.07897201
"San Joaquin","L8_valley_20130815to20130823_water.tif","2013-08-15","2013-08-23",11516514300,152302050,99.9994527688372,1.3224665557008,152302883.44884,0.07897201
"Suisun","L8_valley_20130815to20130823_water.tif","2013-08-15","2013-08-23",615664800,120086100,99.997800947485,19.505110573156,120088740.814475,0.07897201
"Sutter","L8_valley_20130815to20130823_water.tif","2013-08-15","2013-08-23",879928200,19799100,91.6178871862033,2.25008131345262,21610517.99826,0.07897201
"Tulare","L8_valley_20130815to20130823_water.tif","2013-08-15","2013-08-23",7930702800,83428650,29.4026426132666,1.05197045084075,283745413.966146,0.07897201
"Yolo","L8_valley_20130815to20130823_water.tif","2013-08-15","2013-08-23",2031375600,46021950,98.8078488976214,2.26555591196429,46577220.8518426,0.07897201
"American","L8_valley_20130822to20130831_water.tif","2013-08-22","2013-08-31",1789109100,50895000,85.1257932603846,2.84471192952962,59787989.1049253,0.07897201
"Butte","L8_valley_20130822to20130831_water.tif","2013-08-22","2013-08-31",861426900,20664900,35.0264918447224,2.39891510237259,58997915.3253786,0.07897201
"Colusa","L8_valley_20130822to20130831_water.tif","2013-08-22","2013-08-31",3368875500,44039700,72.4842164786788,1.30725222704134,60757640.9589173,0.07897201
"Delta","L8_valley_20130822to20130831_water.tif","2013-08-22","2013-08-31",6729005700,280534800,98.6025803609446,4.16903793081941,284510607.098794,0.07897201
"San Joaquin","L8_valley_20130822to20130831_water.tif","2013-08-22","2013-08-31",11199095100,762296400,97.2432588831297,6.80676780751688,783906677.702106,0.07897201
"Suisun","L8_valley_20130822to20130831_water.tif","2013-08-22","2013-08-31",615664800,120086100,99.997800947485,19.505110573156,120088740.814475,0.07897201
"Sutter","L8_valley_20130822to20130831_water.tif","2013-08-22","2013-08-31",879928200,19799100,91.6178871862033,2.25008131345262,21610517.99826,0.07897201
"Tulare","L8_valley_20130822to20130831_water.tif","2013-08-22","2013-08-31",7625116800,169988850,28.2696993959748,2.2293278182965,601311133.942245,0.07897201
"Yolo","L8_valley_20130822to20130831_water.tif","2013-08-22","2013-08-31",2031375600,46021950,98.8078488976214,2.26555591196429,46577220.8518426,0.07897201
"American","L8_valley_20130831to20130908_water.tif","2013-08-31","2013-09-08",2101717800,29581200,99.9997121106087,1.40747725503395,29581285.1613818,0.07897201
"Butte","L8_valley_20130831to20130908_water.tif","2013-08-31","2013-09-08",1930856400,63120600,78.5105804658876,3.26904683331189,80397571.4170468,0.07897201
"Colusa","L8_valley_20130831to20130908_water.tif","2013-08-31","2013-09-08",3607009200,42947100,77.6078652040974,1.19065679122748,55338592.1479162,0.07897201
"Delta","L8_valley_20130831to20130908_water.tif","2013-08-31","2013-09-08",6559518600,288239850,96.1190239273554,4.39422261871473,299878045.180573,0.07897201
"San Joaquin","L8_valley_20130831to20130908_water.tif","2013-08-31","2013-09-08",11232348300,763321050,97.5320009205371,6.79573878598476,782636511.909466,0.07897201
"Suisun","L8_valley_20130831to20130908_water.tif","2013-08-31","2013-09-08",614506500,124713900,99.8096669940131,20.2949684014734,124951724.373032,0.07897201
"Sutter","L8_valley_20130831to20130908_water.tif","2013-08-31","2013-09-08",960425100,22023900,99.9992027333572,2.29314081858127,22024075.5906081,0.07897201
"Tulare","L8_valley_20130831to20130908_water.tif","2013-08-31","2013-09-08",9132940800,194091750,33.8598735979013,2.12518348963786,573220539.169498,0.07897201
"Yolo","L8_valley_20130831to20130908_water.tif","2013-08-31","2013-09-08",2055855600,37723500,99.9985770628183,1.83492945710778,37724036.7893459,0.07897201
"American","L8_valley_20130907to20130916_water.tif","2013-09-07","2013-09-16",2101717800,29581200,99.9997121106087,1.40747725503395,29581285.1613818,0.07897201
"Butte","L8_valley_20130907to20130916_water.tif","2013-09-07","2013-09-16",1930856400,63120600,78.5105804658876,3.26904683331189,80397571.4170468,0.07897201
"Colusa","L8_valley_20130907to20130916_water.tif","2013-09-07","2013-09-16",3607009200,42947100,77.6078652040974,1.19065679122748,55338592.1479162,0.07897201
"Delta","L8_valley_20130907to20130916_water.tif","2013-09-07","2013-09-16",6543246600,281835000,95.8805843630029,4.30726544831735,293943765.437407,0.07897201
"San Joaquin","L8_valley_20130907to20130916_water.tif","2013-09-07","2013-09-16",11516355900,178490700,99.998077360193,1.54988871088987,178494131.799231,0.07897201
"Suisun","L8_valley_20130907to20130916_water.tif","2013-09-07","2013-09-16",614506500,124713900,99.8096669940131,20.2949684014734,124951724.373032,0.07897201
"Sutter","L8_valley_20130907to20130916_water.tif","2013-09-07","2013-09-16",960425100,22023900,99.9992027333572,2.29314081858127,22024075.5906081,0.07897201
"Tulare","L8_valley_20130907to20130916_water.tif","2013-09-07","2013-09-16",9325643400,103864950,34.5743078443147,1.11375639776232,300410786.14703,0.07897201
"Yolo","L8_valley_20130907to20130916_water.tif","2013-09-07","2013-09-16",2055855600,37723500,99.9985770628183,1.83492945710778,37724036.7893459,0.07897201
"American","L8_valley_20130916to20130924_water.tif","2013-09-16","2013-09-24",2101716900,43175700,99.9996692886176,2.05430617225374,43175842.7874265,0.07897201
"Butte","L8_valley_20130916to20130924_water.tif","2013-09-16","2013-09-24",1930856400,79225200,78.5105804658876,4.10311196627569,100910220.67328,0.07897201
"Colusa","L8_valley_20130916to20130924_water.tif","2013-09-16","2013-09-24",3607009200,70300800,77.6078652040974,1.94900528670678,90584633.1620116,0.07897201
"Delta","L8_valley_20130916to20130924_water.tif","2013-09-16","2013-09-24",6814569600,315729300,99.8563794661743,4.63315100633795,316183404.293114,0.07897201
"San Joaquin","L8_valley_20130916to20130924_water.tif","2013-09-16","2013-09-24",11516514300,183219750,99.9994527688372,1.59093059954782,183220752.641055,0.07897201
"Suisun","L8_valley_20130916to20130924_water.tif","2013-09-16","2013-09-24",615664800,132405300,99.997800947485,21.50606953654,132408211.72611,0.07897201
"Sutter","L8_valley_20130916to20130924_water.tif","2013-09-16","2013-09-24",960425100,31370400,99.9992027333572,3.26630363991945,31370650.1077289,0.07897201
"Tulare","L8_valley_20130916to20130924_water.tif","2013-09-16","2013-09-24",17960319000,433926450,66.5868907327182,2.41602863512614,651669488.13062,0.07897201
"Yolo","L8_valley_20130916to20130924_water.tif","2013-09-16","2013-09-24",2055855600,57697200,99.9985770628183,2.80648115558311,57698021.006594,0.07897201
"American","L8_valley_20130923to20131002_water.tif","2013-09-23","2013-10-02",2101716900,43175700,99.9996692886176,2.05430617225374,43175842.7874265,0.07897201
"Butte","L8_valley_20130923to20131002_water.tif","2013-09-23","2013-10-02",1930856400,79225200,78.5105804658876,4.10311196627569,100910220.67328,0.07897201
"Colusa","L8_valley_20130923to20131002_water.tif","2013-09-23","2013-10-02",3607009200,70300800,77.6078652040974,1.94900528670678,90584633.1620116,0.07897201
"Delta","L8_valley_20130923to20131002_water.tif","2013-09-23","2013-10-02",6813158400,318265650,99.8357006366995,4.67133789227622,318789418.985663,0.07897201
"San Joaquin","L8_valley_20130923to20131002_water.tif","2013-09-23","2013-10-02",11516514300,259377750,99.9994527688372,2.25222444259892,259379169.403645,0.07897201
"Suisun","L8_valley_20130923to20131002_water.tif","2013-09-23","2013-10-02",615664800,132405300,99.997800947485,21.50606953654,132408211.72611,0.07897201
