DataSource,Name,BasinName,ClassName,Mosaic,MosaicDateStart,MosaicDateEnd,ObservedArea,ObservedAreaWater,PercentObserved,PercentWater,
TNC,San Joaquin Suitable-unassigned,San Joaquin,Suitable-unassigned,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,490571100,5477400,100,1.116535401,
TNC,San Joaquin Vineyard/Orchard,San Joaquin,Vineyard/Orchard,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,3088564200,7691400,100,0.249028335,
TNC,Suisun Unsuitable,Suisun,Unsuitable,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,206496900,118160100,100,57.22124642,
TNC,Suisun Grass/Pasture,Suisun,Grass/Pasture,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,180582300,210600,100,0.116622725,
TNC,Suisun Corn,Suisun,Corn,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,0,NA,NA,NA,
TNC,Suisun Field Crop,Suisun,Field Crop,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,1512000,31500,100,2.083333333,
TNC,Suisun Grains,Suisun,Grains,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,9834300,8100,100,0.082364784,
TNC,Suisun Alfalfa,Suisun,Alfalfa,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,1127700,9900,100,0.877893057,
TNC,Suisun Wetland,Suisun,Wetland,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,200304000,26594550,100,13.27709382,
TNC,Suisun Suitable-unassigned,Suisun,Suitable-unassigned,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,13974300,149850,100,1.072325626,
TNC,Suisun Vineyard/Orchard,Suisun,Vineyard/Orchard,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,1789200,17550,100,0.980885312,
TNC,Sutter Unsuitable,Sutter,Unsuitable,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,137141100,15547500,100,11.336864,
TNC,Sutter Grass/Pasture,Sutter,Grass/Pasture,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,728100,1800,100,0.247218789,
TNC,Sutter Corn,Sutter,Corn,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,12621600,40500,100,0.320878494,
TNC,Sutter Field Crop,Sutter,Field Crop,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,109668600,5113800,100,4.66295731,
TNC,Sutter Grains,Sutter,Grains,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,22222800,296100,100,1.332415357,
TNC,Sutter Alfalfa,Sutter,Alfalfa,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,16813800,6300,100,0.037469222,
TNC,Sutter Rice,Sutter,Rice,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,317892600,11308500,100,3.557333515,
TNC,Sutter Row Crop,Sutter,Row Crop,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,7760700,24300,100,0.313116085,
